model_id,page,base_model,filter,sort,extracted_at
gpt-omni/mini-omni,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Qwen/Qwen2-0.5B-Instruct,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Terminator-of-AI/Qwen2-0.5B-finetuning-by-Dragonraja,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
lemon-mint/Qwen2-0.5B-Ko-v0.01,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
lemon-mint/Qwen2-0.5B-Ko-v0.02,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
lemon-mint/Qwen2-0.5B-Ko-v0.03,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
dphn/dolphin-2.9.3-qwen2-0.5b,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
mlx-community/dolphin-2.9.3-qwen2-0.5b-4bit,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
mlx-community/dolphin-2.9.3-qwen2-0.5b-8bit,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
mlx-community/dolphin-2.9.3-qwen2-0.5b-2bit,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
amy011872/LawToken-0.5B-a2,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
amy011872/LawToken-0.5B-baseline,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
trollek/Qwen2-0.5B-DiffusionPrompter-v0.1,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
yangzhao02/qwen2-0.5b-sft,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
bnm8901/humanizerAI_0.5,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
CoolSpring/Qwen2-0.5B-Abyme,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
MaxwellJryao/sft_P3_full-sft,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
youssefkhalil320/llm2vec-Qwen2-0.5B-shopping-Quar-v2,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
fjifij/autotrain-6cj5f-9v78z,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
yinmingzhang/qwen2-0.5b-sft,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
leafspark/mini-omni-safetensors,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
lewtun/reward-model,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
TitanML/Qwen2-0.5B-Instruct,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
hZzy/qwen2-0.5b-sft,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
seba/qwen-2-coreml-ane,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
xiaotinghe/Qwen2.5-7B-Instruct-Wukong,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
FreedomIntelligence/Apollo-MoE-0.5B,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
FreedomIntelligence/Apollo2-0.5B,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
chgk13/Qwen2-0.5B-openvino-8bit,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
chgk13/Qwen2-0.5B-openvino,p=0,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
yangzhao02/qwen2-0.5b-hh-sft,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
ZzWater/viitor-voice-en,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/Qwen2-0.5B-SFT,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/Qwen2-0.5B-SFT-2,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
ZzWater/viitor-voice-chs,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
qgallouedec/Qwen2-0.5B-Reward-Math-Sheperd,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
