base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,same,20,30,14.2,0.05,0.11341,0.145292,0.102901
mlx-community/Qwen2.5-0.5B-Instruct-bf16,Qwen/Qwen2.5-0.5B,same,20,30,14.3,0.05,0.098126,0.126129,0.091418
unsloth/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,78.2,1.0,0.509733,0.674033,0.727922
numind/NuExtract-1.5-tiny,Qwen/Qwen2.5-0.5B,same,20,30,28.6,0.35,0.269447,0.330037,0.316495
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,Qwen/Qwen2.5-0.5B,same,20,30,14.2,0.05,0.11341,0.145292,0.102901
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,Qwen/Qwen2.5-0.5B,same,20,30,4.1,0.05,0.150234,0.185889,0.128708
lewtun/Qwen2.5-0.5B-SFT-LoRA,Qwen/Qwen2.5-0.5B,same,20,30,8.0,0.1,0.267075,0.330496,0.232524
ytzfhqs/Qwen2.5-med-book-main-classification,Qwen/Qwen2.5-0.5B,same,20,30,0.0,0.0,0.001829,0.002632,0.001487
artificialguybr/QWEN-2.5-0.5B-Synthia-II,Qwen/Qwen2.5-0.5B,same,20,30,8.1,0.1,0.159699,0.144739,0.134813
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,0.45,0.0,0.073861,0.071889,0.048583
artificialguybr/QWEN-2.5-0.5B-Synthia-I,Qwen/Qwen2.5-0.5B,same,20,30,12.25,0.15,0.225019,0.270467,0.215162
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,Qwen/Qwen2.5-0.5B,same,20,30,0.0,0.0,0.00084,0.001621,0.00082
osllmai-community/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,78.2,1.0,0.509733,0.674033,0.727922
hangingardens/hihihi,Qwen/Qwen2.5-0.5B,same,20,30,11.15,0.15,0.213118,0.27586,0.212993
llamafy/Qwen-Qwen2.5-0.5B-llamafied,Qwen/Qwen2.5-0.5B,same,20,30,78.2,1.0,0.509733,0.674033,0.727922
caelancooper/Qwen2.5-0.5B-business,Qwen/Qwen2.5-0.5B,same,20,30,14.2,0.05,0.11341,0.145292,0.102901
sail/Sailor2-1B-Pre,Qwen/Qwen2.5-0.5B,same,20,30,3.9,0.05,0.206966,0.263623,0.17353
morgan/qwen2_5.qwen2_5_0_5b_instruct,Qwen/Qwen2.5-0.5B,same,20,30,14.2,0.05,0.11341,0.145292,0.102901
fdyrd/QwenMath-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,19.9,0.25,0.213414,0.272381,0.245265
tcapelle/toxicity-scorer-qwen,Qwen/Qwen2.5-0.5B,same,20,30,0.05,0.0,0.002417,0.002992,0.001803
tcapelle/toxicity-scorer-qwen-ct2,Qwen/Qwen2.5-0.5B,same,20,30,3.4,0.05,0.190582,0.256869,0.165817
sail/Sailor2-1B,Qwen/Qwen2.5-0.5B,same,20,30,6.55,0.1,0.208903,0.257825,0.188909
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,Qwen/Qwen2.5-0.5B,same,20,30,6.45,0.1,0.192439,0.207395,0.166611
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,Qwen/Qwen2.5-0.5B,same,20,30,7.55,0.1,0.235986,0.272195,0.202727
AlyGreo/finetune-Qwen2-0.5B-codeDataset,Qwen/Qwen2.5-0.5B,same,20,30,6.45,0.05,0.191146,0.170789,0.137312
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,Qwen/Qwen2.5-0.5B,same,20,30,14.2,0.2,0.233503,0.268999,0.234167
