model,base_model,cluster_family,n_outliers,n_loosely_related_in_outliers,n_loosely_related_in_universe,precision_outliers_vs_loose,recall_loose_in_universe_captured,loosely_related_outliers,loosely_related_in_universe_not_in_outliers
01-ai/Yi-6B,,Yi,13,2,2,0.153846,1.0,01-ai/Yi-6B-200K | 01-ai/Yi-6B-Chat,
01-ai/Yi-6B-200K,,Yi,13,2,2,0.153846,1.0,01-ai/Yi-6B | 01-ai/Yi-6B-Chat,
01-ai/Yi-6B-Chat,,Yi,13,2,2,0.153846,1.0,01-ai/Yi-6B | 01-ai/Yi-6B-200K,
AdaptLLM/medicine-LLM,,medicine-LLM,11,0,0,0.0,,,
AiMavenAi/AiMaven-Prometheus,,Beagle,32,17,17,0.53125,1.0,CorticalStack/pastiche-crown-clown-7b-dare | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | bardsai/jaskier-7b-dpo-v5.6 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
Aurore-Reveil/Koto-Small-7B-IT,allura-org/Koto-Small-7B-PT,MiMo,2,2,2,1.0,1.0,XiaomiMiMo/MiMo-7B-Base | allura-org/Koto-Small-7B-PT,
BioMistral/BioMistral-7B,,Mistral,31,8,8,0.258065,1.0,BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | mistralai/Mistral-7B-Instruct-v0.1 | mistralai/Mistral-7B-v0.1,
BioMistral/BioMistral-7B-DARE,"BioMistral/BioMistral-7B, mistralai/Mistral-7B-Instruct-v0.1",Mistral,31,8,8,0.258065,1.0,BioMistral/BioMistral-7B | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | mistralai/Mistral-7B-Instruct-v0.1 | mistralai/Mistral-7B-v0.1,
Biomimicry-AI/ANIMA-Nectar-v2,,ANIMA-Nectar-v2,31,0,0,0.0,,,
ByteDance-Seed/Seed-Coder-8B-Base,,Seed-Coder,1,1,1,1.0,1.0,ByteDance-Seed/Seed-Coder-8B-Instruct,
