model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
Qwen/Qwen2-7B-Instruct,8,8,8,0,,11.0
Gensyn/Qwen2.5-7B-Instruct,10,10,10,0,,4.1
Qwen/Qwen2.5-3B-Instruct,7,7,7,0,,8.857143
Jurema-br/Jurema-7B,10,10,10,0,,4.1
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,13,13,12,1,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
NousResearch/Hermes-3-Llama-3.1-8B,14,14,14,0,,2.285714
Qwen/Qwen2.5-1.5B-Instruct,9,9,9,0,,6.111111
Qwen/Qwen2.5-7B-Instruct,10,10,10,0,,3.2
Qwen/Qwen2.5-7B-Instruct-1M,9,9,9,0,,4.555556
Qwen/Qwen2.5-Coder-7B,3,3,3,0,,8.0
SakanaAI/TinySwallow-1.5B,4,4,4,0,,7.75
acon96/Home-Llama-3.2-3B,8,8,8,0,,7.125
aisingapore/Llama-SEA-LION-v3-8B,15,15,14,1,unsloth/Llama-3.2-1B,
allenai/Llama-3.1-Tulu-3-8B-SFT,17,17,16,1,unsloth/Llama-3.2-1B,
PowerInfer/SmallThinker-3B-Preview,5,5,5,0,,6.4
allenai/llama-3.1-tulu-2-8b,14,14,14,0,,2.285714
unsloth/Llama-3.2-1B-Instruct,11,11,11,0,,11.181818
Qwen/Qwen2.5-Math-1.5B-Instruct,6,6,3,3,nvidia/DLER-R1-1.5B-Research | Menlo/AlphaSpace-1.5B | unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Coder-0.5B-Instruct,2,2,2,0,,13.0
google/gemma-2-2b-jpn-it,3,3,3,0,,2.0
Gensyn/Qwen2.5-1.5B-Instruct,11,11,11,0,,7.272727
arcee-ai/Llama-3.1-SuperNova-Lite,18,18,17,1,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
arcee-ai/Meraj-Mini,10,10,10,0,,4.1
unsloth/Qwen2.5-0.5B-Instruct,3,3,3,0,,2.333333
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,20,20,19,1,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,10,10,10,0,,4.1
dphn/Dolphin3.0-Llama3.1-8B,16,16,15,1,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
inference-net/Schematron-3B,10,10,10,0,,8.0
meta-llama/Llama-3.1-8B-Instruct,20,20,20,0,,4.35
meta-llama/Llama-Guard-3-8B,15,15,15,0,,2.266667
Writer/palmyra-mini,15,15,11,4,nvidia/DLER-R1-1.5B-Research | unsloth/DeepSeek-R1-Distill-Qwen-1.5B | Menlo/AlphaSpace-1.5B | Qwen/Qwen3-4B,
dnotitia/Smoothie-Qwen3-1.7B,2,2,1,1,Qwen/Qwen3-4B,
unsloth/Qwen2.5-1.5B,13,13,13,0,,6.538462
unsloth/Qwen2.5-1.5B-Instruct,12,12,12,0,,7.583333
microsoft/UserLM-8b,15,15,15,0,,2.266667
Qwen/Qwen2.5-Coder-1.5B,11,11,11,0,,6.272727
nvidia/OpenMath-Nemotron-1.5B,8,8,5,3,unsloth/DeepSeek-R1-Distill-Qwen-1.5B | nvidia/DLER-R1-1.5B-Research | Menlo/AlphaSpace-1.5B,
unsloth/Qwen2.5-Math-1.5B,6,6,3,3,unsloth/DeepSeek-R1-Distill-Qwen-1.5B | nvidia/DLER-R1-1.5B-Research | Menlo/AlphaSpace-1.5B,
nvidia/Llama-3.1-8B-Instruct-FP8,11,11,1,10,tiiuae/Falcon3-1B-Instruct | mistralai/Mistral-7B-Instruct-v0.3 | mistralai/Mistral-7B-Instruct-v0.2 | mistralai/Mistral-7B-v0.1 | google/gemma-2-2b-jpn-it | google/gemma-2-2b-it | unsloth/Phi-3.5-mini-instruct | google/gemma-2-2b | unsloth/Qwen2.5-Math-7B-Instruct | Qwen/Qwen2.5-Math-1.5B-Instruct,
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,9,9,9,0,,3.111111
nvidia/OpenCodeReasoning-Nemotron-7B,9,9,9,0,,3.111111
google/gemma-2-2b-it,3,3,3,0,,1.333333
Qwen/Qwen2.5-Coder-1.5B-Instruct,4,4,4,0,,7.75
nvidia/OpenMath2-Llama3.1-8B,10,10,9,1,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
unsloth/Llama-3.1-8B,16,16,15,1,unsloth/Llama-3.2-1B,
unsloth/Llama-3.2-3B-Instruct,8,8,8,0,,7.125
unsloth/Meta-Llama-3.1-8B-Instruct,20,20,19,1,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
Qwen/Qwen2.5-Math-1.5B,10,10,6,4,unsloth/DeepSeek-R1-Distill-Qwen-1.5B | nvidia/DLER-R1-1.5B-Research | Menlo/AlphaSpace-1.5B | Qwen/Qwen3-4B,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,3,3,3,0,,2.0
nvidia/OpenReasoning-Nemotron-1.5B,6,6,6,0,,3.5
