model,base_model,n_outliers,n_strict_related_in_outliers,n_strict_related_in_universe,precision_outliers_vs_strict,recall_strict_in_universe_captured,strict_related_outliers,strict_related_in_universe_not_in_outliers
01-ai/Yi-6B,,13,0,0,0.0,,,
01-ai/Yi-6B-200K,,13,0,0,0.0,,,
01-ai/Yi-6B-Chat,,13,0,0,0.0,,,
AdaptLLM/medicine-LLM,,43,0,0,0.0,,,
AiMavenAi/AiMaven-Prometheus,,45,1,1,0.022222,1.0,CultriX/NeuralTrix-7B-dpo,
Aurore-Reveil/Koto-Small-7B-IT,allura-org/Koto-Small-7B-PT,8,1,1,0.125,1.0,allura-org/Koto-Small-7B-PT,
BioMistral/BioMistral-7B,,55,1,1,0.018182,1.0,BioMistral/BioMistral-7B-DARE,
BioMistral/BioMistral-7B-DARE,BioMistral/BioMistral-7B; mistralai/Mistral-7B-Instruct-v0.1,56,2,2,0.035714,1.0,BioMistral/BioMistral-7B | mistralai/Mistral-7B-Instruct-v0.1,
Biomimicry-AI/ANIMA-Nectar-v2,,44,0,0,0.0,,,
ByteDance-Seed/Seed-Coder-8B-Base,,1,1,1,1.0,1.0,ByteDance-Seed/Seed-Coder-8B-Instruct,
ByteDance-Seed/Seed-Coder-8B-Instruct,ByteDance-Seed/Seed-Coder-8B-Base,1,1,1,1.0,1.0,ByteDance-Seed/Seed-Coder-8B-Base,
ChrisMcCormick/deepseek-tiny-v0.1,,0,0,0,,,,
CorticalStack/pastiche-crown-clown-7b-dare,,46,1,1,0.021739,1.0,CorticalStack/pastiche-crown-clown-7b-dare-dpo,
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CorticalStack/pastiche-crown-clown-7b-dare,45,1,1,0.022222,1.0,CorticalStack/pastiche-crown-clown-7b-dare,
CultriX/NeuralTrix-7B-dpo,mlabonne/OmniBeagle-7B; AiMavenAi/AiMaven-Prometheus; flemmingmiguel/MBX-7B-v3,43,4,4,0.093023,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-bf16 | flemmingmiguel/MBX-7B-v3 | mlabonne/OmniBeagle-7B,
CultriX/NeuralTrix-bf16,CultriX/NeuralTrix-7B-dpo,44,1,1,0.022727,1.0,CultriX/NeuralTrix-7B-dpo,
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,,58,0,0,0.0,,,
DeepHat/DeepHat-V1-7B,Qwen/Qwen2.5-Coder-7B,4,1,1,0.25,1.0,Qwen/Qwen2.5-Coder-7B,
EleutherAI/gpt-neo-1.3B,,37,0,0,0.0,,,
EleutherAI/polyglot-ko-3.8b,,30,0,0,0.0,,,
EleutherAI/pythia-1.4b,,42,0,0,0.0,,,
EleutherAI/pythia-1b,,13,0,0,0.0,,,
EleutherAI/pythia-2.8b,,11,0,0,0.0,,,
EleutherAI/pythia-6.9b,,19,0,0,0.0,,,
FelixChao/Sectumsempra-7B-DPO,,45,1,1,0.022222,1.0,shadowml/BeagleSempra-7B,
FelixChao/vicuna-7B-chemical,,45,0,0,0.0,,,
FelixChao/vicuna-7B-physics,,57,0,0,0.0,,,
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,39,1,1,0.025641,1.0,Qwen/Qwen2.5-1.5B,
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,20,1,1,0.05,1.0,Qwen/Qwen2.5-7B-Instruct,
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,45,1,1,0.022222,1.0,mistralai/Mistral-7B-v0.1,
HuggingFaceTB/SmolLM-135M,,43,0,0,0.0,,,
