model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
01-ai/Yi-6B,13,13,2,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
01-ai/Yi-6B-200K,13,13,2,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
01-ai/Yi-6B-Chat,13,13,2,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
AdaptLLM/medicine-LLM,43,43,0,43,lmsys/vicuna-7b-v1.1 | FelixChao/vicuna-7B-chemical | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama_v1.1_math_code | CorticalStack/pastiche-crown-clown-7b-dare-dpo | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | bardsai/jaskier-7b-dpo-v5.6 | Biomimicry-AI/ANIMA-Nectar-v2 | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | shadowml/WestBeagle-7B | CultriX/NeuralTrix-7B-dpo | FelixChao/Sectumsempra-7B-DPO | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | mlabonne/OmniBeagle-7B | mistralai/Mistral-7B-Instruct-v0.1 | mistralai/Mistral-7B-v0.1 | mlabonne/Beagle14-7B | dicta-il/dictalm2.0 | CultriX/NeuralTrix-bf16 | fblgit/UNA-TheBeagle-7b-v1 | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | berkeley-nest/Starling-LM-7B-alpha | Intel/neural-chat-7b-v3-1 | mlabonne/Marcoro14-7B-slerp | Nexusflow/Starling-LM-7B-beta | BioMistral/BioMistral-7B-DARE | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B | Intel/neural-chat-7b-v3-3 | HuggingFaceH4/zephyr-7b-beta,
AiMavenAi/AiMaven-Prometheus,45,45,17,28,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B-DARE | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | SciPhi/SciPhi-Mistral-7B-32k | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.1 | PharMolix/BioMedGPT-LM-7B | AdaptLLM/medicine-LLM | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | lmsys/vicuna-7b-v1.5 | lmsys/vicuna-7b-v1.5-16k | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | FelixChao/vicuna-7B-physics | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama_v1.1 | EleutherAI/polyglot-ko-3.8b | TinyLlama/TinyLlama_v1.1_math_code,
Aurore-Reveil/Koto-Small-7B-IT,8,8,2,6,Qwen/Qwen2.5-Coder-0.5B | Qwen/Qwen2.5-Coder-7B | DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-3B | Qwen/Qwen2-7B | Qwen/Qwen3-4B-Instruct-2507,
BioMistral/BioMistral-7B,55,55,8,47,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | Nexusflow/Starling-LM-7B-beta | shadowml/BeagleSempra-7B | FelixChao/Sectumsempra-7B-DPO | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | mlabonne/NeuralBeagle14-7B | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CultriX/NeuralTrix-7B-dpo | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | dicta-il/dictalm2.0 | bardsai/jaskier-7b-dpo-v5.6 | fblgit/UNA-TheBeagle-7b-v1 | Biomimicry-AI/ANIMA-Nectar-v2 | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | TinyLlama/TinyLlama_v1.1 | lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM | FelixChao/vicuna-7B-chemical | FelixChao/vicuna-7B-physics | TinyLlama/TinyLlama_v1.1_math_code | lmsys/vicuna-7b-v1.5 | lmsys/vicuna-7b-v1.5-16k | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | PharMolix/BioMedGPT-LM-7B | deepseek-ai/deepseek-coder-1.3b-base,
BioMistral/BioMistral-7B-DARE,56,56,8,48,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | fblgit/UNA-TheBeagle-7b-v1 | FelixChao/Sectumsempra-7B-DPO | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | mlabonne/OmniBeagle-7B | kevin009/llamaRAGdrama | Nexusflow/Starling-LM-7B-beta | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | Biomimicry-AI/ANIMA-Nectar-v2 | dicta-il/dictalm2.0 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.1 | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama_v1.1_math_code | AdaptLLM/medicine-LLM | deepseek-ai/deepseek-coder-1.3b-base | adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
Biomimicry-AI/ANIMA-Nectar-v2,44,44,0,44,BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | FelixChao/Sectumsempra-7B-DPO | Nexusflow/Starling-LM-7B-beta | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mlabonne/OmniBeagle-7B | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare | berkeley-nest/Starling-LM-7B-alpha | fblgit/UNA-TheBeagle-7b-v1 | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | mistralai/Mistral-7B-v0.1 | kevin009/llamaRAGdrama | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Mistral-7B-32k | dicta-il/dictalm2.0 | Intel/neural-chat-7b-v3-1 | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama_v1.1 | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5 | lmsys/vicuna-7b-v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | FelixChao/vicuna-7B-physics | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | FelixChao/vicuna-7B-chemical | AdaptLLM/medicine-LLM | TinyLlama/TinyLlama_v1.1_math_code | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | deepseek-ai/deepseek-coder-1.3b-base,
ByteDance-Seed/Seed-Coder-8B-Base,1,1,1,0,,1.0
ByteDance-Seed/Seed-Coder-8B-Instruct,1,1,1,0,,1.0
ChrisMcCormick/deepseek-tiny-v0.1,0,0,0,0,,
CorticalStack/pastiche-crown-clown-7b-dare,46,46,17,29,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | lmsys/vicuna-7b-v1.1 | deepseek-ai/deepseek-coder-1.3b-base | PharMolix/BioMedGPT-LM-7B | AdaptLLM/medicine-LLM | FelixChao/vicuna-7B-chemical | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5 | lmsys/vicuna-7b-v1.5-16k | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | EleutherAI/polyglot-ko-3.8b | TinyLlama/TinyLlama_v1.1_math_code | HuggingFaceTB/SmolLM2-135M,
CorticalStack/pastiche-crown-clown-7b-dare-dpo,45,45,17,28,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-physics | AdaptLLM/medicine-LLM | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1_math_code | EleutherAI/polyglot-ko-3.8b,
CultriX/NeuralTrix-7B-dpo,43,43,17,26,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | deepseek-ai/deepseek-coder-1.3b-base | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama_v1.1 | lmsys/vicuna-7b-v1.5-16k | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama_v1.1_math_code,
CultriX/NeuralTrix-bf16,44,44,17,27,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.1 | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.5-16k | FelixChao/vicuna-7B-physics | AdaptLLM/medicine-LLM | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1_math_code,
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,58,58,54,4,beyoru/Luna | allura-org/Koto-Small-7B-PT | XiaomiMiMo/MiMo-7B-Base | Aurore-Reveil/Koto-Small-7B-IT,
DeepHat/DeepHat-V1-7B,4,4,4,0,,4.75
