cluster_id,model_id,family,organization,model_short_name
26,01-ai/Yi-6B,Yi-6B,01-ai,Yi-6B
27,01-ai/Yi-6B-200K,Yi-6B-200K,01-ai,Yi-6B-200K
28,01-ai/Yi-6B-Chat,Yi-6B-Chat,01-ai,Yi-6B-Chat
29,AdaptLLM/medicine-LLM,medicine-LLM,AdaptLLM,medicine-LLM
30,Biomimicry-AI/ANIMA-Nectar-v2,ANIMA-Nectar-v2,Biomimicry-AI,ANIMA-Nectar-v2
31,ChrisMcCormick/deepseek-tiny-v0.1,deepseek-tiny-v0.1,ChrisMcCormick,deepseek-tiny-v0.1
32,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,DavidAU,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B
33,EleutherAI/gpt-neo-1.3B,gpt-neo-1.3B,EleutherAI,gpt-neo-1.3B
34,EleutherAI/polyglot-ko-3.8b,polyglot-ko-3.8b,EleutherAI,polyglot-ko-3.8b
35,EleutherAI/pythia-1.4b,pythia-1.4b,EleutherAI,pythia-1.4b
36,EleutherAI/pythia-1b,pythia-1b,EleutherAI,pythia-1b
37,EleutherAI/pythia-2.8b,pythia-2.8b,EleutherAI,pythia-2.8b
38,EleutherAI/pythia-6.9b,pythia-6.9b,EleutherAI,pythia-6.9b
39,FelixChao/vicuna-7B-chemical,vicuna-7B-chemical,FelixChao,vicuna-7B-chemical
40,FelixChao/vicuna-7B-physics,vicuna-7B-physics,FelixChao,vicuna-7B-physics
41,HuggingFaceTB/SmolLM-135M,SmolLM-135M,HuggingFaceTB,SmolLM-135M
42,HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,HuggingFaceTB,SmolLM2-135M
43,KoboldAI/GPT-Neo-2.7B-Horni-LN,GPT-Neo-2.7B-Horni-LN,KoboldAI,GPT-Neo-2.7B-Horni-LN
44,LGAI-EXAONE/EXAONE-4.0-1.2B,EXAONE-4.0-1.2B,LGAI-EXAONE,EXAONE-4.0-1.2B
45,LiquidAI/LFM2-1.2B,LFM2-1.2B,LiquidAI,LFM2-1.2B
46,LiquidAI/LFM2-350M,LFM2-350M,LiquidAI,LFM2-350M
47,Nexusflow/Starling-LM-7B-beta,Starling-LM-7B-beta,Nexusflow,Starling-LM-7B-beta
48,NinedayWang/PolyCoder-2.7B,PolyCoder-2.7B,NinedayWang,PolyCoder-2.7B
49,PharMolix/BioMedGPT-LM-7B,BioMedGPT-LM-7B,PharMolix,BioMedGPT-LM-7B
50,PygmalionAI/pygmalion-2.7b,pygmalion-2.7b,PygmalionAI,pygmalion-2.7b
51,Qwen/Qwen1.5-0.5B-Chat,Qwen1.5-0.5B-Chat,Qwen,Qwen1.5-0.5B-Chat
52,Qwen/Qwen1.5-4B-Chat,Qwen1.5-4B-Chat,Qwen,Qwen1.5-4B-Chat
