anchor_model,outlier_model,overlap,upper_fence,Q1,Q3
01-ai/Yi-6B,01-ai/Yi-6B-Chat,0.5603,0.0607,0.0071,0.0285
01-ai/Yi-6B,01-ai/Yi-6B-200K,0.5507,0.0607,0.0071,0.0285
01-ai/Yi-6B,adamo1139/Apertus-8B-Instruct-2509-ungated,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,bigscience/bloom-560m,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,bigscience/bloomz-1b1,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,bigscience/bloomz-560m,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,chatitcloud/UZI1,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,google/gemma-3-1b-pt,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,google/gemma-3-270m,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,google/gemma-3-4b-it,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,google/gemma-3-4b-pt,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,nvidia/Llama-3.1-8B-Instruct-FP8,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B,swiss-ai/Apertus-8B-2509,0.1273,0.0607,0.0071,0.0285
01-ai/Yi-6B-200K,01-ai/Yi-6B,0.719,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,01-ai/Yi-6B-Chat,0.57,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,adamo1139/Apertus-8B-Instruct-2509-ungated,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,bigscience/bloom-560m,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,bigscience/bloomz-1b1,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,bigscience/bloomz-560m,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,chatitcloud/UZI1,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,google/gemma-3-1b-pt,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,google/gemma-3-270m,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,google/gemma-3-4b-it,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,google/gemma-3-4b-pt,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,nvidia/Llama-3.1-8B-Instruct-FP8,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-200K,swiss-ai/Apertus-8B-2509,0.1549,0.0683,0.0063,0.0311
01-ai/Yi-6B-Chat,01-ai/Yi-6B,0.5593,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,01-ai/Yi-6B-200K,0.4655,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,adamo1139/Apertus-8B-Instruct-2509-ungated,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,bigscience/bloom-560m,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,bigscience/bloomz-1b1,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,bigscience/bloomz-560m,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,chatitcloud/UZI1,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,google/gemma-3-1b-pt,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,google/gemma-3-270m,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,google/gemma-3-4b-it,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,google/gemma-3-4b-pt,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,nvidia/Llama-3.1-8B-Instruct-FP8,0.0958,0.0603,0.0059,0.0277
01-ai/Yi-6B-Chat,swiss-ai/Apertus-8B-2509,0.0958,0.0603,0.0059,0.0277
AdaptLLM/medicine-LLM,lmsys/vicuna-7b-v1.1,0.5001,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,FelixChao/vicuna-7B-chemical,0.2911,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,FelixChao/vicuna-7B-physics,0.2697,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,lmsys/vicuna-7b-v1.5-16k,0.2399,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,lmsys/vicuna-7b-v1.5,0.2346,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.2123,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.1985,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama_v1.1,0.1885,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama-1.1B-Chat-v0.5,0.186,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,PharMolix/BioMedGPT-LM-7B,0.1806,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama_v1.1_math_code,0.1722,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,CorticalStack/pastiche-crown-clown-7b-dare-dpo,0.12,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,kevin009/llamaRAGdrama,0.119,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,CorticalStack/pastiche-crown-clown-7b-dare,0.1188,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,flemmingmiguel/MBX-7B-v3,0.1188,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,AiMavenAi/AiMaven-Prometheus,0.1187,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,bardsai/jaskier-7b-dpo-v5.6,0.1186,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,Biomimicry-AI/ANIMA-Nectar-v2,0.1185,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,shadowml/BeagleSempra-7B,0.1183,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,shadowml/BeagSake-7B,0.1178,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,0.1173,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,shadowml/WestBeagle-7B,0.1173,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,CultriX/NeuralTrix-7B-dpo,0.117,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,FelixChao/Sectumsempra-7B-DPO,0.117,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,0.1169,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,mlabonne/OmniBeagle-7B,0.1166,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,mistralai/Mistral-7B-Instruct-v0.1,0.1164,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,mistralai/Mistral-7B-v0.1,0.1164,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,mlabonne/Beagle14-7B,0.1163,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,dicta-il/dictalm2.0,0.1162,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,CultriX/NeuralTrix-bf16,0.1161,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,fblgit/UNA-TheBeagle-7b-v1,0.116,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,argilla/distilabeled-Marcoro14-7B-slerp,0.1158,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,mlabonne/NeuralBeagle14-7B,0.1157,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,berkeley-nest/Starling-LM-7B-alpha,0.1156,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,Intel/neural-chat-7b-v3-1,0.1151,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,mlabonne/Marcoro14-7B-slerp,0.1147,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,Nexusflow/Starling-LM-7B-beta,0.1144,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,BioMistral/BioMistral-7B-DARE,0.1142,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,SciPhi/SciPhi-Mistral-7B-32k,0.1138,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,BioMistral/BioMistral-7B,0.1137,0.0705,0.004,0.0306
AdaptLLM/medicine-LLM,Intel/neural-chat-7b-v3-3,0.1137,0.0705,0.004,0.0306
