sample_type,base_model,test_model,num_pairs,avg_overlap_ratio,min_overlap,max_overlap,bottom_k_vocab_size,pair_scores_json
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,5,0.3323,0.2305,0.508,2000,"[0.33, 0.314, 0.508, 0.2305, 0.279]"
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-7B,5,0.0073999999999999995,0.0045,0.012,2000,"[0.0105, 0.0055, 0.012, 0.0045, 0.0045]"
positive,Qwen/Qwen2.5-7B,nvidia/OpenReasoning-Nemotron-7B,5,0.0907,0.039,0.179,2000,"[0.039, 0.0555, 0.179, 0.1005, 0.0795]"
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct-1M,5,0.3804,0.292,0.4445,2000,"[0.4435, 0.343, 0.4445, 0.292, 0.379]"
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Coder-7B,5,0.127,0.053,0.166,2000,"[0.166, 0.053, 0.1585, 0.139, 0.1185]"
negative,Qwen/Qwen2.5-7B,acon96/Home-Llama-3.2-3B,5,0.013000000000000001,0.007,0.0225,2000,"[0.0225, 0.0155, 0.013, 0.007, 0.007]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen3-Reranker-0.6B,5,0.0251,0.016,0.0345,2000,"[0.031, 0.019, 0.016, 0.0345, 0.025]"
negative,Qwen/Qwen2.5-7B,unsloth/Llama-3.2-3B-Instruct,5,0.0108,0.0045,0.0195,2000,"[0.0195, 0.015, 0.009, 0.006, 0.0045]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen3-0.6B,5,0.0262,0.017,0.038,2000,"[0.038, 0.017, 0.0185, 0.032, 0.0255]"
negative,Qwen/Qwen2.5-7B,allenai/Llama-3.1-Tulu-3-8B-SFT,5,0.0184,0.0165,0.0215,2000,"[0.0215, 0.0175, 0.0165, 0.0175, 0.019]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-1.5B,5,0.0034000000000000002,0.001,0.006,2000,"[0.001, 0.003, 0.0015, 0.006, 0.0055]"
negative,Qwen/Qwen2.5-7B,nvidia/OpenReasoning-Nemotron-1.5B,5,0.0421,0.014,0.065,2000,"[0.014, 0.03, 0.065, 0.0495, 0.052]"
negative,Qwen/Qwen2.5-7B,tomaarsen/Qwen3-Reranker-0.6B-seq-cls,5,0.0254,0.0165,0.036,2000,"[0.0305, 0.0185, 0.0165, 0.036, 0.0255]"
negative,Qwen/Qwen2.5-7B,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,5,0.01,0.0045,0.0205,2000,"[0.0205, 0.0125, 0.007, 0.0055, 0.0045]"
negative,Qwen/Qwen2.5-7B,nvidia/Llama-3.1-8B-Instruct-FP8,5,0.0091,0.005,0.0165,2000,"[0.008, 0.0165, 0.005, 0.0065, 0.0095]"
negative,Qwen/Qwen2.5-7B,Gensyn/Qwen2.5-1.5B-Instruct,5,0.0847,0.059,0.137,2000,"[0.137, 0.059, 0.0795, 0.064, 0.084]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-1.5B-Instruct,5,0.0847,0.059,0.137,2000,"[0.137, 0.059, 0.0795, 0.064, 0.084]"
negative,Qwen/Qwen2.5-7B,Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,5,0.0103,0.0085,0.012,2000,"[0.0105, 0.0095, 0.012, 0.0085, 0.011]"
