model,base_model,cluster_family,n_outliers,n_loosely_related_in_outliers,n_loosely_related_in_universe,precision_outliers_vs_loose,recall_loose_in_universe_captured,loosely_related_outliers,loosely_related_in_universe_not_in_outliers
01-ai/Yi-6B,,Yi-6B,8,0,0,0.0,,,
01-ai/Yi-6B-200K,,Yi-6B-200K,8,0,0,0.0,,,
01-ai/Yi-6B-Chat,,Yi-6B-Chat,8,0,0,0.0,,,
AdaptLLM/medicine-LLM,,medicine-LLM,3,0,0,0.0,,,
Aurore-Reveil/Koto-Small-7B-IT,allura-org/Koto-Small-7B-PT,Koto-Small-7B-IT,0,0,0,,,,
BioMistral/BioMistral-7B,,BioMistral-7B,14,1,1,0.071429,1.0,BioMistral/BioMistral-7B-DARE,
BioMistral/BioMistral-7B-DARE,BioMistral/BioMistral-7B,BioMistral-7B,14,1,1,0.071429,1.0,BioMistral/BioMistral-7B,
Biomimicry-AI/ANIMA-Nectar-v2,,ANIMA-Nectar-v2,14,0,0,0.0,,,
ByteDance-Seed/Seed-Coder-8B-Instruct,ByteDance-Seed/Seed-Coder-8B-Base,Seed-Coder-8B-Instruct,0,0,0,,,,
ChrisMcCormick/deepseek-tiny-v0.1,,deepseek-tiny-v0.1,0,0,0,,,,
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CorticalStack/pastiche-crown-clown-7b-dare,pastiche-crown-clown-7b-dare-dpo,14,0,0,0.0,,,
CultriX/NeuralTrix-bf16,bardsai/jaskier-7b-dpo-v3.3,NeuralTrix-bf16,14,0,0,0.0,,,
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,Goekdeniz-Guelmez/Josiefied-Qwen3-4B-Instruct-2507-gabliterated-v1,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,9,0,0,0.0,,,
DeepHat/DeepHat-V1-7B,Qwen/Qwen2.5-Coder-7B,Qwen2.5-7B,3,3,7,1.0,0.428571,Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct,Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | jiawei-ucas/Qwen-2.5-7B-ConsistentChat
EleutherAI/gpt-neo-1.3B,,gpt-neo-1.3B,3,0,0,0.0,,,
EleutherAI/polyglot-ko-3.8b,,polyglot-ko-3.8b,0,0,0,,,,
EleutherAI/pythia-1.4b,,pythia-1.4b,4,0,0,0.0,,,
EleutherAI/pythia-1b,,pythia-1b,4,0,0,0.0,,,
EleutherAI/pythia-2.8b,,pythia-2.8b,4,0,0,0.0,,,
EleutherAI/pythia-6.9b,,pythia-6.9b,4,0,0,0.0,,,
FelixChao/vicuna-7B-chemical,,vicuna-7B-chemical,10,0,0,0.0,,,
FelixChao/vicuna-7B-physics,,vicuna-7B-physics,5,0,0,0.0,,,
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,zephyr-7b-beta,14,0,0,0.0,,,
HuggingFaceTB/SmolLM-135M,,SmolLM-135M,1,0,0,0.0,,,
HuggingFaceTB/SmolLM2-135M,,SmolLM2-135M,1,0,0,0.0,,,
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B,2,0,0,0.0,,,
