model,base_model,n_outliers,n_strict_related_in_outliers,n_strict_related_in_universe,precision_outliers_vs_strict,recall_strict_in_universe_captured,strict_related_outliers,strict_related_in_universe_not_in_outliers
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,8,1,1,0.125,1.0,Qwen/Qwen2-7B,
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,10,1,1,0.1,1.0,Qwen/Qwen2.5-7B-Instruct,
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,7,2,2,0.285714,1.0,PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen2.5-3B,
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B-Instruct,10,1,1,0.1,1.0,Qwen/Qwen2.5-7B-Instruct,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.2-3B-Instruct,13,1,1,0.076923,1.0,meta-llama/Llama-3.2-3B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B,14,1,1,0.071429,1.0,meta-llama/Llama-3.1-8B,
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,9,2,3,0.222222,0.666667,Qwen/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,SakanaAI/TinySwallow-1.5B
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,10,7,7,0.7,1.0,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B,9,1,1,0.111111,1.0,Qwen/Qwen2.5-7B,
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B,3,1,1,0.333333,1.0,Qwen/Qwen2.5-7B,
SakanaAI/TinySwallow-1.5B,Qwen/Qwen2.5-1.5B-Instruct,4,0,1,0.0,0.0,,Qwen/Qwen2.5-1.5B-Instruct
acon96/Home-Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,8,1,1,0.125,1.0,meta-llama/Llama-3.2-3B-Instruct,
aisingapore/Llama-SEA-LION-v3-8B,meta-llama/Llama-3.1-8B-Instruct,15,1,1,0.066667,1.0,meta-llama/Llama-3.1-8B-Instruct,
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,17,1,1,0.058824,1.0,meta-llama/Llama-3.1-8B,
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B-Instruct,5,1,1,0.2,1.0,Qwen/Qwen2.5-3B-Instruct,
allenai/llama-3.1-tulu-2-8b,meta-llama/Llama-3.1-8B,14,1,1,0.071429,1.0,meta-llama/Llama-3.1-8B,
unsloth/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,11,1,1,0.090909,1.0,meta-llama/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,6,1,1,0.166667,1.0,Qwen/Qwen2.5-Math-1.5B,
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,2,0,1,0.0,0.0,,Qwen/Qwen2.5-Coder-0.5B
google/gemma-2-2b-jpn-it,google/gemma-2-2b-it,3,1,1,0.333333,1.0,google/gemma-2-2b-it,
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,11,1,1,0.090909,1.0,Qwen/Qwen2.5-1.5B,
arcee-ai/Llama-3.1-SuperNova-Lite,meta-llama/Llama-3.1-8B-Instruct,18,1,1,0.055556,1.0,meta-llama/Llama-3.1-8B-Instruct,
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B-Instruct,10,1,1,0.1,1.0,Qwen/Qwen2.5-7B-Instruct,
unsloth/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,3,1,1,0.333333,1.0,Qwen/Qwen2.5-0.5B-Instruct,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Llama-3.1-8B,20,1,1,0.05,1.0,meta-llama/Llama-3.1-8B,
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B-Instruct,10,1,1,0.1,1.0,Qwen/Qwen2.5-7B-Instruct,
dphn/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B,16,1,1,0.0625,1.0,meta-llama/Llama-3.1-8B,
inference-net/Schematron-3B,meta-llama/Llama-3.2-3B-Instruct,10,1,1,0.1,1.0,meta-llama/Llama-3.2-3B-Instruct,
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,20,4,5,0.2,0.8,aisingapore/Llama-SEA-LION-v3-8B | arcee-ai/Llama-3.1-SuperNova-Lite | meta-llama/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8
meta-llama/Llama-Guard-3-8B,meta-llama/Llama-3.1-8B,15,1,1,0.066667,1.0,meta-llama/Llama-3.1-8B,
Writer/palmyra-mini,Qwen/Qwen2.5-1.5B,15,0,1,0.0,0.0,,Qwen/Qwen2.5-1.5B
dnotitia/Smoothie-Qwen3-1.7B,Qwen/Qwen3-1.7B,2,1,1,0.5,1.0,Qwen/Qwen3-1.7B,
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,13,1,1,0.076923,1.0,Qwen/Qwen2.5-1.5B,
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,12,1,1,0.083333,1.0,Qwen/Qwen2.5-1.5B-Instruct,
