base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,same,20,30,35.45,0.05,0.213353,0.200182,0.154512
numind/NuExtract-1.5-tiny,Qwen/Qwen2.5-0.5B,same,20,30,24.6,0.2,0.474702,0.431512,0.368738
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,42.9,0.3,0.517997,0.46182,0.426606
dphn/Dolphin3.0-Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,7.2,0.05,0.1178,0.110736,0.092845
stpete2/Qwen2.5-0.5B-gsm8k-sft,Qwen/Qwen2.5-0.5B,same,20,30,147.3,1.0,1.0,1.0,1.0
mlx-community/Qwen2.5-0.5B-Instruct-bf16,Qwen/Qwen2.5-0.5B,same,20,30,48.85,0.2,0.301139,0.28498,0.262039
unsloth/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,168.25,0.95,1.0,1.0,0.983333
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,Qwen/Qwen2.5-0.5B,same,20,30,35.45,0.05,0.213353,0.200182,0.154512
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,Qwen/Qwen2.5-0.5B,same,20,30,8.0,0.05,0.340682,0.338879,0.243187
lewtun/Qwen2.5-0.5B-SFT-LoRA,Qwen/Qwen2.5-0.5B,same,20,30,26.35,0.15,0.332729,0.33456,0.27243
ytzfhqs/Qwen2.5-med-book-main-classification,Qwen/Qwen2.5-0.5B,same,20,30,0.0,0.0,0.0,0.0,0.0
artificialguybr/QWEN-2.5-0.5B-Synthia-II,Qwen/Qwen2.5-0.5B,same,20,30,23.95,0.1,0.388852,0.375505,0.288119
artificialguybr/QWEN-2.5-0.5B-Synthia-I,Qwen/Qwen2.5-0.5B,same,20,30,35.8,0.1,0.27334,0.296999,0.223446
